sk	M	a	lng	mx
844	1	1.02515910076835	8	-7.97104012649368
845	100	1.17174312409467	58	-6.46027373329802
850	100	1.13853221788189	41	-7.19000281215038
854	1000	1.02327364625339	3	-8.01169119976295
856	1000	1.08845015256592	27	-7.687556454763
859	100	1.10274680637992	54	-7.00729297298033
863	1	1.09456379348551	58	-6.31120604397222
865	1000	1.09630879134828	60	-5.95266232262226
866	1	1.13560608246445	80	-4.44044385719605
868	1	1.04671883572692	44	-7.29673491502701
870	10	1.06410000775738	49	-6.70893178657943
871	1000	1.25194542744775	155	-0.0278715290737536
874	10	1.04655364853394	40	-7.19923836240386
875	10	1.04237649941469	38	-7.29742705273267
880	10	1.08404449752188	45	-6.47949359901404
882	1	1.13958279718821	67	-5.28629879160385
884	1	1.12732924545357	56	-5.80775285399295
887	100	1.03855722520112	23	-7.6730669192622
888	100	1.07201033526546	30	-7.2160647054418
889	1000	1.0171486398393	14	-7.94302574775342
896	100	1.02914618397068	10	-7.93823332405988
897	1000	1.07138228168612	18	-7.64616169932633
898	10	1.02752241142403	8	-7.96520745829432
899	1000	1.02505118517066	7	-7.98168679620853
900	1000	1.06956622905643	15	-7.74612435709845
905	1000	1.04303060176111	7	-7.95851986324998
906	100	1.05557621295756	9	-7.91013862085969
907	10	1.02333957174483	3	-8.01053228992497
908	10	1.15006700279471	88	-6.24821643410094
910	1000	1.20295893276979	134	-2.18347793021508
911	10	1.17188677651854	121	-3.49135550755976
912	10	1.02851121824248	5	-7.99623723944312
916	10	1.18061476520643	147	-0.56321343352605
917	100	1.04750223597464	59	-7.57478215219358
918	1000	1.00841470778067	2	-8.02247700995692
919	1	1.11317088644166	113	-3.91097753490938
921	100	1.06587742426105	84	-6.1098686255818
922	10	1.07490646552758	91	-5.59885554931125
924	1000	1.07057959673067	89	-5.66974221436077
925	100	1.06225841003879	82	-6.05062769893674
926	100	1.03941899952313	66	-6.99851617196378
929	1	1.01749175078423	45	-7.73600663559143
930	1000	1.00188298847874	5	-8.02480299399681
932	10	1.00142839120919	6	-8.02447194030032
933	10	1.12304523891514	113	-3.37451857059248
935	1	1.06189994037806	73	-6.28886925290248
946	1	1.01503180909158	25	-7.89696101838536
948	10	1.07983865502964	65	-6.36748947873717
952	10	1.05938047414116	48	-7.12869747938651
953	1	1.00585476064729	9	-8.01263861761968
955	1	1.17477033259474	109	-3.233982858982
958	100	1.19953209539595	119	-2.38522442190248
959	10	1.05052740727708	35	-7.52355955773029
960	100	1.24078053056115	144	-0.405481463181621
967	1000	1.01992156592089	11	-7.96846073678899
968	1	1.04748846062392	26	-7.71376498567643
970	1000	1.10483813770492	59	-6.60557636648381
974	100	1.13216614646686	74	-5.81371582433894
980	1	1.02901812259135	15	-7.92911904084576
983	1	1.01855851379172	9	-7.98745290497673
985	1000	1.14303982885817	83	-5.27535062419978
986	1000	1.09916460271159	58	-6.66105301762382
988	1000	1.0155819379471	9	-7.99581166882992
990	100	1.07056608167302	42	-7.30367256044033
993	100	1.01529956257718	9	-7.99559089053217
994	1	1.25203788634075	179	-0.238011079158083
995	100	1.10761678184707	63	-6.41579237211615
1004	1	1.0975133201054	56	-6.73431248780262
1005	10	1.08406720824038	48	-7.05863351635472
1007	10	1.12734558676272	77	-5.8347278409752
1008	10	1.19746542489916	141	-3.05888681841595
1009	10	1.02185833335375	12	-7.96596870092485
1014	1	1.02009574529876	11	-7.97507746811634
1017	1	1.02097502220234	12	-7.96780467235767
1018	1	1.04711489019862	28	-7.69596466943537
1019	1	1.01748071953897	10	-7.98396602650213
1020	10	1.05491903751743	32	-7.57089971254758
1023	100	1.04040152730327	23	-7.78667199453524
1026	10	1.02668476240607	15	-7.92373997796401
1027	1	1.22798318672255	197	-0.247306155137652
1028	100	1.05258409881963	29	-7.64222722951482
1029	10	1.01580252179974	9	-7.99192216968307
1030	1	1.06749481722775	39	-7.42098993041151
1031	100	1.03172335818866	16	-7.89803983335429
1032	1000	1.12119552759754	90	-6.07052781997931
1033	10	1.05467372291816	30	-7.64169739009901
1034	100	1.05791327708403	32	-7.61429892784338
1039	100	1.06957725008482	46	-7.42461733516576
1041	1	1.07875590092814	59	-7.18801266868324
1042	100	1.08366192237843	65	-7.03128632436768
1044	1000	1.07084751096276	56	-7.29591220728959
1045	1	1.06515216425896	52	-7.40784399802732
1047	10	1.02034603604463	11	-7.97614794095761
1049	1	1.0382181244441	30	-7.80924827266124
1051	100	1.04828745129149	45	-7.59162335641581
1054	1	1.05042066436495	51	-7.46704670772918
1055	100	1.1425634320055	165	-2.69012048660557
1058	1000	1.01348653564132	12	-7.99118564187272
1059	1000	1.05793767149198	66	-7.11966295782428
1061	1	1.10877774389371	138	-4.74559701059821
1062	1	1.10188704067936	131	-5.18932893170873
1064	1	1.0022826724625	2	-8.0249639517704
1065	10	1.13774312596599	166	-2.23008042479814
1066	1	1.0051329960224	5	-8.02048690312463
1067	10	1.10403207194766	134	-4.8421691380009
1069	1000	1.13035923890172	159	-2.66480266725811
1071	1	1.03091247060612	35	-7.73796409813171
1073	1	1.08887269866079	118	-5.78715937285758
1075	1000	1.01565631259252	18	-7.95224772329266
1076	100	1.04504474692952	53	-7.47668037892637
1079	10	1.01825028244911	19	-7.94081654181779
1081	1	1.07539953536191	104	-6.45158384495897
1083	1	1.08448777146947	113	-5.82617695907019
1085	10	1.11736277072023	144	-3.37729140401213
1087	100	1.055372237433	82	-7.22246303403577
1088	10	1.09004941799945	118	-5.23944232560499
1090	1000	1.06175986840487	92	-6.8520586305332
1092	10	1.04070608303622	62	-7.58436992061973
1093	100	1.00559766716002	4	-8.02126869325651
1099	100	1.12292576150447	149	-2.42838033245192
1100	1000	1.09881073089026	129	-4.0350483477594
1102	100	1.05139348294983	85	-6.82691980797194
1108	10	1.06726290969993	99	-5.73925223727047
1110	100	1.03601756318186	71	-7.25253145917243
1111	10	1.06171939065619	93	-5.97367618048853
1113	100	1.06689260265638	97	-5.66587564490519
1115	100	1.02380658153079	57	-7.63876730011716
